|       | 007 Legends                                                              | Activision                             | Xbox 360 | 2012 | NTSC (NA)
|       | Darksiders II                                                            | THQ                                    | Xbox 360 | 2012 | NTSC (NA)
|       | DarkStar One: Broken Alliance                                            | Kalypso                                | Xbox 360 | 2010 | NTSC (NA)
|       | de Blob 2                                                                | THQ                                    | Xbox 360 | 2011 | NTSC (NA)
|       | Dead Island                                                              | Deep Silver                            | Xbox 360 | 2011 | NTSC (NA)
|       | Dead Island: Game of the Year Edition                                    | Deep Silver                            | Xbox 360 | 2012 | NTSC (NA)
|       | Dead Island: Riptide                                                     | Deep Silver                            | Xbox 360 | 2013 | NTSC (NA)
|       | Dead or Alive 4                                                          | Tecmo                                  | Xbox 360 | 2005 | NTSC (NA)
|       | Dead or Alive 5                                                          | Tecmo Koei America Corp.               | Xbox 360 | 2012 | NTSC (NA)
|       | Dead or Alive 5 Ultimate                                                 | Tecmo Koei America Corp.               | Xbox 360 | 2013 | NTSC (NA)
|       | Dead or Alive Xtreme 2                                                   | Tecmo                                  | Xbox 360 | 2006 | NTSC (NA)
|       | Dead Rising                                                              | Capcom                                 | Xbox 360 | 2006 | NTSC (NA)
|       | Dead Rising 2                                                            | Capcom                                 | Xbox 360 | 2010 | NTSC (NA)
|       | Dead Rising 2: Off the Record                                            | Capcom                                 | Xbox 360 | 2011 | NTSC (NA)
|       | Dead Space                                                               | Electronic Arts                        | Xbox 360 | 2008 | NTSC (NA)
|       | Dead Space 2                                                             | Electronic Arts                        | Xbox 360 | 2011 | NTSC (NA)
